#,Priority,Segment,Area,Company name,Name for messages,Companies House number,Companies House link,Accounts type,Incorporated,Registered address,Postcode,Group entities collapsed,Also in earlier 933 research list (not messaged),Nearest pitch,Walk to nearest (min),Lead-with pitch,Walk to lead-with pitch (min),Other pitches within 19 min,Latitude,Longitude
1,1,Law firm,City of London,Allen Overy Shearman Sterling LLP,A&O Shearman,OC306763,https://find-and-update.company-information.service.gov.uk/company/OC306763,Group,30/01/2004,"One Bishops  Square, London",E1 6AD,5,,Liverpool St - Attlee Centre,5.6,Shoreditch Powerleague,6.5,Shoreditch Powerleague (6.5),51.519787,-0.076856
2,1,Law firm,City of London,Baker & McKenzie LLP,Baker McKenzie,OC311297,https://find-and-update.company-information.service.gov.uk/company/OC311297,Group,01/02/2005,"280 Bishopsgate, London",EC2M 4AG,2,,Shoreditch Powerleague,6.9,Shoreditch Powerleague,6.9,Liverpool St - Attlee Centre (7.1),51.519875,-0.07838
3,1,Law firm,City of London,Herbert Smith Freehills Kramer Global LLP,Herbert Smith Freehills Kramer,OC375784,https://find-and-update.company-information.service.gov.uk/company/OC375784,Group,06/06/2012,"Exchange House, Primrose Street, London",EC2A 2EG,8,,Shoreditch Powerleague,7.9,Shoreditch Powerleague,7.9,Liverpool St - Attlee Centre (9.8),51.520237,-0.080743
4,1,Law firm,City of London,Ashurst Perkins Coie UK LLP,Ashurst Perkins Coie,OC330252,https://find-and-update.company-information.service.gov.uk/company/OC330252,Group,31/07/2007,"1 Duval Square, London Fruit And Wool Exchange, London",E1 6PW,2,,Liverpool St - Attlee Centre,3.3,Shoreditch Powerleague,8.1,Shoreditch Powerleague (8.1); Whitechapel (18.6),51.518837,-0.075426
5,1,Law firm,City of London,Norton Rose Fulbright LLP,Norton Rose Fulbright,OC328697,https://find-and-update.company-information.service.gov.uk/company/OC328697,Group,30/05/2007,"3 More London Riverside, London",SE1 2AQ,4,,Bermondsey Riverside,15.1,Bermondsey Riverside,15.1,,51.50416,-0.079748
6,1,Law firm,City of London,Duncan Lewis Solicitors Ltd,Duncan Lewis Solicitors,03718422,https://find-and-update.company-information.service.gov.uk/company/03718422,Group,23/02/1999,"Sackville House 143-149, Fenchurch Street, London",EC3M 6BL,1,,Liverpool St - Attlee Centre,15.5,Liverpool St - Attlee Centre,15.5,,51.511669,-0.082487
7,1,Law firm,City of London,Linklaters LLP,Linklaters,OC326345,https://find-and-update.company-information.service.gov.uk/company/OC326345,Group,27/02/2007,"20 Ropemaker Street, London",EC2Y 9AR,2,,Shoreditch Powerleague,15.7,Shoreditch Powerleague,15.7,Liverpool St - Attlee Centre (17.7),51.519643,-0.088408
8,1,Law firm,City of London,Stephenson Harwood LLP,Stephenson Harwood,OC373597,https://find-and-update.company-information.service.gov.uk/company/OC373597,Group,21/03/2012,"1 Finsbury Circus, London",EC2M 7SH,2,,Shoreditch Powerleague,15.9,Shoreditch Powerleague,15.9,Liverpool St - Attlee Centre (16.3),51.518286,-0.087355
9,1,Law firm,City of London,Womble Bond Dickinson (UK) LLP,Womble Bond Dickinson,OC317661,https://find-and-update.company-information.service.gov.uk/company/OC317661,Group,06/02/2006,"4 More London Riverside, London",SE1 2AU,1,,Bermondsey Riverside,15.9,Bermondsey Riverside,15.9,,51.504395,-0.080372
10,1,Law firm,City of London,Howard Kennedy LLP,Howard Kennedy,OC361417,https://find-and-update.company-information.service.gov.uk/company/OC361417,Group,01/02/2011,"No.1, London Bridge, London",SE1 9BG,2,,Borough Academy,16.1,Borough Academy,16.1,,51.506545,-0.087559
11,1,Law firm,City of London,Devonshires Solicitors LLP,Devonshires Solicitors,OC397401,https://find-and-update.company-information.service.gov.uk/company/OC397401,Group,07/01/2015,"30 Finsbury Circus, London",EC2M 7DT,1,,Liverpool St - Attlee Centre,16.5,Shoreditch Powerleague,16.7,Shoreditch Powerleague (16.7),51.517696,-0.087567
12,1,Law firm,City of London,Kennedys Law LLP,Kennedys,OC353214,https://find-and-update.company-information.service.gov.uk/company/OC353214,Group,15/03/2010,"Kennedys, 20 Fenchurch Street, London",EC3M 3BY,1,,Liverpool St - Attlee Centre,16.7,Liverpool St - Attlee Centre,16.7,,51.511398,-0.083507
13,1,Law firm,City of London,PGMBM Ltd,Pogust Goodhead,11468874,https://find-and-update.company-information.service.gov.uk/company/11468874,Group,17/07/2018,"Chancery House, 53 - 64 Chancery Lane, London",WC2A 1QS,1,,St Pancras - Coram's Fields 3G,16.9,St Pancras - Coram's Fields 3G,16.9,,51.517486,-0.112915
14,1,Law firm,City of London,Squire Patton Boggs (UK) LLP,Squire Patton Boggs,OC335584,https://find-and-update.company-information.service.gov.uk/company/OC335584,Group,14/03/2008,"60 London Wall, London",EC2M 5TQ,1,,Liverpool St - Attlee Centre,15.7,Shoreditch Powerleague,17.1,Shoreditch Powerleague (17.1),51.516838,-0.08681
15,1,Law firm,City of London,Simmons & Simmons LLP,Simmons & Simmons,OC352713,https://find-and-update.company-information.service.gov.uk/company/OC352713,Group,01/03/2010,"Citypoint, One Ropemaker Street, London",EC2Y 9SS,3,,Shoreditch Powerleague,17.2,Shoreditch Powerleague,17.2,Liverpool St - Attlee Centre (19),51.519348,-0.089631
16,1,Law firm,City of London,Beale & Company Solicitors LLP,Beale & Company Solicitors,OC310010,https://find-and-update.company-information.service.gov.uk/company/OC310010,Group,15/11/2004,"7 Bishopsgate, London",EC2N 3AR,1,,Liverpool St - Attlee Centre,13.1,Shoreditch Powerleague,17.7,Shoreditch Powerleague (17.7),51.514768,-0.083395
17,1,Law firm,City of London,DLA Piper International LLP,DLA Piper,OC305357,https://find-and-update.company-information.service.gov.uk/company/OC305357,Group,22/08/2003,"160 Aldersgate Street, London",EC1A 4HT,2,,Old St - Moreland Primary School,18.4,Old St - Moreland Primary School,18.4,,51.518691,-0.097312
18,1,Law firm,City of London,Three Crowns (Services) LLP,Three Crowns,OC389628,https://find-and-update.company-information.service.gov.uk/company/OC389628,Group,02/12/2013,"The Jj Mack Building, 33 Charterhouse Street, London",EC1M 6HA,1,,Old St - Moreland Primary School,18.5,Old St - Moreland Primary School,18.5,,51.519262,-0.103703
19,1,Law firm,City of London,Holman Fenwick Willan LLP,Holman Fenwick Willan,OC343361,https://find-and-update.company-information.service.gov.uk/company/OC343361,Group,16/02/2009,"8 Bishopsgate, London",EC2N 4BQ,8,,Liverpool St - Attlee Centre,13.7,Shoreditch Powerleague,18.7,Shoreditch Powerleague (18.7),51.514149,-0.083493
20,1,Bank,Canary Wharf,HSBC Bank PLC,HSBC,00014259,https://find-and-update.company-information.service.gov.uk/company/00014259,Group,01/07/1880,"8 Canada Square, London",E14 5HQ,6,Hsbc Innovation Bank,Poplar,5.5,Poplar,5.5,,51.505532,-0.017395
21,1,Bank,City of London,Itaú BBA International PLC,Itaú BBA,07425398,https://find-and-update.company-information.service.gov.uk/company/07425398,Group,01/11/2010,"The Broadgate Tower, Level 10A, 20 Primrose Street, London",EC2A 2EW,1,Itau Bba International,Shoreditch Powerleague,6.3,Shoreditch Powerleague,6.3,Liverpool St - Attlee Centre (9.9),51.521062,-0.080031
22,1,Bank,City of London,National Westminster Bank Public Limited Company,NatWest,00929027,https://find-and-update.company-information.service.gov.uk/company/00929027,Group,18/03/1968,"250 Bishopsgate, London",EC2M 4AA,1,,Liverpool St - Attlee Centre,6.9,Shoreditch Powerleague,7.8,Shoreditch Powerleague (7.8),51.519375,-0.078589
23,1,Bank,City of London,Starling Bank Limited,Starling Bank,09092149,https://find-and-update.company-information.service.gov.uk/company/09092149,Group,18/06/2014,"5Th Floor London Fruit And Wool Exchange, 1 Duval Square, London",E1 6PW,1,,Liverpool St - Attlee Centre,3.3,Shoreditch Powerleague,8.1,Shoreditch Powerleague (8.1); Whitechapel (18.6),51.518837,-0.075426
24,1,Bank,City of London,Allica Bank Limited,Allica Bank,07706156,https://find-and-update.company-information.service.gov.uk/company/07706156,Group,15/07/2011,"4Th/5Th Floor, 15 Worship Street, London",EC2A 2DT,1,Allica Bank,Shoreditch Powerleague,11.7,Shoreditch Powerleague,11.7,Liverpool St - Attlee Centre (16.9); Old St - Moreland Primary School (17.9),51.522446,-0.086027
25,1,Bank,City of London,Gatehouse Bank PLC,Gatehouse Bank,06260053,https://find-and-update.company-information.service.gov.uk/company/06260053,Group,25/05/2007,"The Helicon, One South Place, London",EC2M 2RB,1,Gatehouse Bank,Shoreditch Powerleague,14.9,Shoreditch Powerleague,14.9,Liverpool St - Attlee Centre (16.3),51.519283,-0.08727
26,1,Bank,City of London,Hampshire Trust Bank PLC,Hampshire Trust Bank,01311315,https://find-and-update.company-information.service.gov.uk/company/01311315,Group,28/04/1977,"80 Fenchurch Street, London",EC3M 4BY,1,,Liverpool St - Attlee Centre,10.3,Shoreditch Powerleague,18.7,Shoreditch Powerleague (18.7),51.513039,-0.077717
27,1,Bank,City of London,Shawbrook Bank Limited,Shawbrook Bank,00388466,https://find-and-update.company-information.service.gov.uk/company/00388466,Group,29/06/1944,"Floor 10,, 40 Leadenhall Street, London",EC3A 2BJ,1,Shawbrook Bank,Liverpool St - Attlee Centre,11.1,Shoreditch Powerleague,18.7,Shoreditch Powerleague (18.7),51.513208,-0.079295
28,1,Public / state-owned bank,City of London,Agdevco Limited,AgDevCo,07026479,https://find-and-update.company-information.service.gov.uk/company/07026479,Group,22/09/2009,"Chancery House 53-64 Chancery Lane, Holborn, London",WC2A 1QS,2,,St Pancras - Coram's Fields 3G,16.9,St Pancras - Coram's Fields 3G,16.9,,51.517486,-0.112915
29,1,Public / state-owned bank,City of London,Bank of England,the Bank of England,,,Statutory corporation,,"Threadneedle Street, London",EC2R 8AH,9,Bank Of England Alternative Liquidity Facility,Liverpool St - Attlee Centre,18.9,Liverpool St - Attlee Centre,18.9,,51.514188,-0.088622
30,2,Law firm,City of London,Maples and Calder,Maples Group,03369233,https://find-and-update.company-information.service.gov.uk/company/03369233,Full,06/05/1997,"Duo Level 6, 280 Bishopsgate, London",EC2M 4RB,2,,Shoreditch Powerleague,6.9,Shoreditch Powerleague,6.9,Liverpool St - Attlee Centre (7.1),51.519884,-0.078394
31,2,Law firm,City of London,Watson Farley & Williams LLP,Watson Farley & Williams,OC312252,https://find-and-update.company-information.service.gov.uk/company/OC312252,Full,17/03/2005,"15 Appold Street, London",EC2A 2HB,1,,Shoreditch Powerleague,9.8,Shoreditch Powerleague,9.8,Liverpool St - Attlee Centre (12.1),51.520274,-0.082976
32,2,Law firm,City of London,Conyers Dill & Pearman,Conyers Dill & Pearman,03495343,https://find-and-update.company-information.service.gov.uk/company/03495343,Full,14/01/1998,"10 Finsbury Square, London",EC2A 1AF,1,,Shoreditch Powerleague,13.7,Shoreditch Powerleague,13.7,Liverpool St - Attlee Centre (17.4); Old St - Moreland Primary School (18.3),51.521237,-0.087462
33,2,Law firm,City of London,"Greenberg Traurig, LLP",Greenberg Traurig,OC346053,https://find-and-update.company-information.service.gov.uk/company/OC346053,Full,01/06/2009,"The Shard Level 8, 32 London Bridge Street, London",SE1 9SG,1,,Borough Academy,14.6,Borough Academy,14.6,,51.504963,-0.087625
34,2,Law firm,City of London,Paul Hastings (Europe) LLP,Paul Hastings,OC306535,https://find-and-update.company-information.service.gov.uk/company/OC306535,Full,16/01/2004,"100 Bishopsgate, London",EC2N 4AG,1,,Liverpool St - Attlee Centre,10.5,Shoreditch Powerleague,15.2,Shoreditch Powerleague (15.2),51.515719,-0.081596
35,2,Law firm,City of London,Runnymede Law Limited,Runnymede Law,09248715,https://find-and-update.company-information.service.gov.uk/company/09248715,Full,03/10/2014,"Exchequer Court, 33 St. Mary Axe, London",EC3A 8AA,1,,Liverpool St - Attlee Centre,9.6,Shoreditch Powerleague,15.5,Shoreditch Powerleague (15.5),51.515249,-0.080362
36,2,Law firm,City of London,Doyle Clayton Solicitors Limited,Doyle Clayton Solicitors,06963121,https://find-and-update.company-information.service.gov.uk/company/06963121,Full,15/07/2009,"24 Chiswell Street, 7Th Floor, London",EC1Y 4TY,1,,Shoreditch Powerleague,16.2,Shoreditch Powerleague,16.2,Old St - Moreland Primary School (17.3),51.520895,-0.089624
37,2,Law firm,City of London,ALM Global (EMEA) Ltd,ALM Global,04110598,https://find-and-update.company-information.service.gov.uk/company/04110598,Full,15/11/2000,"4Th Floor Holborn Gate, 330 High Holborn, London",WC1V 7QT,1,,St Pancras - Coram's Fields 3G,16.7,St Pancras - Coram's Fields 3G,16.7,,51.517977,-0.112145
38,2,Law firm,City of London,Michael Osborne LLP,Michael Osborne,OC322220,https://find-and-update.company-information.service.gov.uk/company/OC322220,Full,07/09/2006,"5Th Floor, 70 Gracechurch Street, London",EC3V 0XL,1,,Liverpool St - Attlee Centre,17.0,Liverpool St - Attlee Centre,17.0,,51.512066,-0.084791
