company,website,email,email_type,source,via
Allen Overy Shearman Sterling LLP,https://www.aoshearman.com,dparisi@aoshearman.com,named person,https://www.aoshearman.com/en/industries/private-capital/family-office,website scrape
Baker & McKenzie LLP,https://www.bakermckenzie.com,hkalumni@bakermckenzie.com,named person,https://www.bakermckenzie.com/en/locations/asia-pacific/china/hong-kong,website scrape
Shoosmiths LLP,https://www.shoosmiths.com,generalenquiries@shoosmiths.com,named person,https://www.shoosmiths.com/contact,website scrape
Herbert Smith Freehills Kramer Global LLP,https://www.hsfkramer.com,,,,
Ashurst Perkins Coie UK LLP,https://www.ashurstperkinscoie.com,london@ashurstperkinscoie.com,general,https://www.ashurstperkinscoie.com/en/our-locations/london-duval-square/,web search
Carey Olsen LLP,https://www.careyolsen.com,londonco@careyolsen.com,general,https://www.careyolsen.com/locations/london,web search
Eversheds Sutherland (International) LLP,https://www.eversheds-sutherland.com,rachelreid@eversheds-sutherland.com,named person,https://www.eversheds-sutherland.com/en/global/capabilities/services/data-privacy-security-and-technology/cybersecurity,website scrape
Goodwin Procter (UK) LLP,https://www.goodwinlaw.com,etan@goodwinlaw.com,named person,https://www.goodwinlaw.com/en/about/about-us,website scrape
Withers LLP,https://www.withersworldwide.com,hello@withersworldwide.com,general,https://www.withersworldwide.com/en-gb/locations/europe/london,web search
Charles Russell Speechlys LLP,https://www.charlesrussellspeechlys.com,london@charlesrussellspeechlys.com,general,https://www.charlesrussellspeechlys.com/en/our-locations/offices/london/,web search
CMS Cameron McKenna Nabarro Olswang LLP,https://cms.law,,,,
Bryan Cave Leighton Paisner LLP,https://www.bclplaw.com,kwfries@bclplaw.com,named person,https://www.bclplaw.com/en-US/about/about-bclp.html,website scrape
Osborne Clarke LLP,https://www.osborneclarke.com,luis.gil@osborneclarke.com,named person,https://www.osborneclarke.com/what-our-clients-are-talking-about/green-hydrogen,website scrape
Fragomen (GB) Limited,https://www.fragomen.com,london@fragomen.com,general,https://www.fragomen.com/offices/london.html,web search
Fieldfisher LLP,https://www.fieldfisher.com,london@fieldfisher.com,general,https://www.fieldfisher.com/en/locations/united-kingdom/contact-us/offices/london,web search
Hogan Lovells Cadwalader International LLP,https://www.hlc.com,connect@hlc.com,named person,https://www.hlc.com/en/locations/connect,website scrape
Mills & Reeve LLP,https://www.mills-reeve.com,info@mills-reeve.com,general,https://www.mills-reeve.com/,website scrape
DLA Piper International LLP,https://www.dlapiper.com,communications@dlapiper.com,role (press / marketing),https://www.dlapiper.com/en-us/legal-notices/additional/privacy-policy,website scrape
Lighthouse Global Europe Limited,https://lighthouse.com,,,,
Howard Kennedy LLP,https://www.howardkennedy.com,london@howardkennedy.com,general,https://www.howardkennedy.com/contact-us,web search
Linklaters LLP,https://www.linklaters.com,pressoffice@linklaters.com,role (press / marketing),https://www.linklaters.com/,website scrape
Three Crowns (Services) LLP,https://www.threecrownsllp.com,london@threecrownsllp.com,general,https://www.threecrownsllp.com/contact/,web search
Stephenson Harwood LLP,https://www.stephensonharwood.com,info@stephensonharwood.com,general,https://www.stephensonharwood.com/contact-us/,website scrape
Devonshires Solicitors LLP,https://www.devonshires.com,info@devonshires.co.uk,general,https://www.devonshires.com/,website scrape
PGMBM Ltd,https://pogustgoodhead.com,mydata@pogustgoodhead.com,privacy / compliance,https://pogustgoodhead.com/gdpr-privacy-policy/,website scrape
Squire Patton Boggs (UK) LLP,https://www.squirepattonboggs.com,enquiries@squirepb.com,general,https://www.squirepattonboggs.com/contact-us/,web search
Simmons & Simmons LLP,https://www.simmons-simmons.com,london@simmons-simmons.com,general,https://www.simmons-simmons.com/en/offices/london,web search
Beale & Company Solicitors LLP,https://beale.co.uk,graham@beale.co.uk,named person,https://beale.co.uk/,website scrape
Kennedys Law LLP,https://www.kennedyslaw.com,contactus@kennedyslaw.com,named person,https://www.kennedyslaw.com/en/,website scrape
Holman Fenwick Willan LLP,https://www.hfw.com,hello@hfw.com,general,https://www.hfw.com/contact-us,web search
Duncan Lewis Solicitors Ltd,https://www.duncanlewis.co.uk,contact@duncanlewis.com,general,https://www.duncanlewis.co.uk/Home/Contact,web search
Cynergy Bank PLC,https://www.cynergybank.co.uk,businessbanking@cynergybank.co.uk,role (other),https://www.cynergybank.co.uk/support/contact-us,web search
Itaú BBA International PLC,https://www.itaubba.eu,enquiries@itaubba.eu,general,https://www.itaubba.eu,web search
Mizuho International PLC,https://www.mizuho.com,customerservice@mizuho.com,general,https://www.mizuho.com/,website scrape
National Westminster Bank Public Limited Company,https://www.natwest.com,,,,
Starling Bank Limited,https://www.starlingbank.com,help@starlingbank.com,general,https://www.starlingbank.com/contact/,web search
Lloyds Bank PLC,https://www.lloydsbank.com,worldwideservice@lloydsbank.com,role (other),https://www.lloydsbank.com/help-guidance/call-us.html,web search
Allica Bank Limited,https://www.allica.bank,customer.services@allica.bank,role (other),https://www.allica.bank/contact,web search
Standard Chartered Bank,https://www.sc.com,info@sc.com,general,https://www.sc.com/uk/contact/,web search
Gatehouse Bank PLC,https://gatehousebank.com,bdteam@gatehousebank.com,role (other),https://gatehousebank.com/intermediaries/contact-us-1,website scrape
