Company name,Companies House number,Category,Postcode,Registered address,Incorporated,Accounts type,SIC codes,Nearest FC Urban venue,Walk (min),Venue match,In existing FC Urban sheet?,Contact first name,Contact full name,Contact job title,LinkedIn URL,Connection note (<=300),Note length,Follow-up DM,LinkedIn status,Connected at,Replied,Notes
4Most Group Holdings,,Financial institution,EC3R 8AJ,"3RD FLOOR MONUMENT PLACE, LONDON",22/04/2016,FULL,64209 - Activities of other holding companies n.e.c.,Borough Academy,22,postcode district,,,,,,"Hi {First} - I'm Brian from FC Urban. We run social football at Borough Academy, a 22-min walk from 4Most Group Holdings. Looking for someone inside the team up for starting an after-work game - we handle pitch, payments and organising. Open to a quick chat?",258,"Thanks for connecting, {First}.

Quick one - we run social football games at Borough Academy, about 22 minutes' walk from your office. A few City firms use them as an easy after-work thing for colleagues: we sort the pitch, the payments and the organising, and can top the group up with our own players if numbers are short.

Is there someone at 4Most Group Holdings who looks after wellbeing or staff socials I should be speaking to? Happy to be pointed elsewhere.

Brian
FC Urban",,,,
4T Markets,,Financial institution,EC2R 5BJ,"80 COLEMAN STREET OFFICE 4.03, LONDON",12/02/2014,FULL,64999 - Financial intermediation not elsewhere classified,Old St - Moreland Primary School,23,exact postcode,,,,,,"Hi {First} - I'm Brian from FC Urban. We run social football at Old St - Moreland Primary School, a 23-min walk from 4T Markets. Looking for someone inside the team up for starting an after-work game - we handle pitch, payments and organising. Open to a quick chat?",265,"Thanks for connecting, {First}.

Quick one - we run social football games at Old St - Moreland Primary School, about 23 minutes' walk from your office. A few City firms use them as an easy after-work thing for colleagues: we sort the pitch, the payments and the organising, and can top the group up with our own players if numbers are short.

Is there someone at 4T Markets who looks after wellbeing or staff socials I should be speaking to? Happy to be pointed elsewhere.

Brian
FC Urban",,,,
Abc International Bank,,Financial institution,EC2R 6AB,1-5 MOORGATE,03/12/1990,FULL,64999 - Financial intermediation not elsewhere classified,Old St - Moreland Primary School,25,postcode district,,,,,,"Hi {First} - I'm Brian from FC Urban. We run social football at Old St - Moreland Primary School, a 25-min walk from Abc International Bank. Looking for someone inside the team up for starting an after-work game - we handle pitch, payments and organising. Open to a quick chat?",277,"Thanks for connecting, {First}.

Quick one - we run social football games at Old St - Moreland Primary School, about 25 minutes' walk from your office. A few City firms use them as an easy after-work thing for colleagues: we sort the pitch, the payments and the organising, and can top the group up with our own players if numbers are short.

Is there someone at Abc International Bank who looks after wellbeing or staff socials I should be speaking to? Happy to be pointed elsewhere.

Brian
FC Urban",,,,
Acadian Asset Management (Uk),,Financial institution,EC4R 9AT,"SIXTH FLOOR, LONDON",05/12/2005,FULL,64999 - Financial intermediation not elsewhere classified,Borough Academy,18,postcode district,,,,,,"Hi {First} - I'm Brian from FC Urban. We run social football at Borough Academy, a 18-min walk from Acadian Asset Management (Uk). Looking for someone inside the team up for starting an after-work game - we handle pitch, payments and organising. Open to a quick chat?",267,"Thanks for connecting, {First}.

Quick one - we run social football games at Borough Academy, about 18 minutes' walk from your office. A few City firms use them as an easy after-work thing for colleagues: we sort the pitch, the payments and the organising, and can top the group up with our own players if numbers are short.

Is there someone at Acadian Asset Management (Uk) who looks after wellbeing or staff socials I should be speaking to? Happy to be pointed elsewhere.

Brian
FC Urban",,,,
Access - The Foundation For Social Investment,,Financial institution,EC1Y 8RN,"SCRIPT, LONDON",30/07/2014,FULL,66300 - Fund management activities,Old St - Moreland Primary School,14,postcode district,,,,,,"Hi {First} - I'm Brian from FC Urban. We run social football at Old St - Moreland Primary School, a 14-min walk from Access - The Foundation For Social Investment. Looking for someone inside the team up for starting an after-work game - we handle pitch, payments and organising. Open to a quick chat?",300,"Thanks for connecting, {First}.

Quick one - we run social football games at Old St - Moreland Primary School, about 14 minutes' walk from your office. A few City firms use them as an easy after-work thing for colleagues: we sort the pitch, the payments and the organising, and can top the group up with our own players if numbers are short.

Is there someone at Access - The Foundation For Social Investment who looks after wellbeing or staff socials I should be speaking to? Happy to be pointed elsewhere.

Brian
FC Urban",,,,
Acetop Financial,,Financial institution,EC4N 8AL,"FIRST FLOOR 13, LONDON",16/03/2016,FULL,64205 - Activities of financial services holding companies,Borough Academy,22,exact postcode,,,,,,"Hi {First} - I'm Brian from FC Urban. We run social football at Borough Academy, a 22-min walk from Acetop Financial. Looking for someone inside the team up for starting an after-work game - we handle pitch, payments and organising. Open to a quick chat?",254,"Thanks for connecting, {First}.

Quick one - we run social football games at Borough Academy, about 22 minutes' walk from your office. A few City firms use them as an easy after-work thing for colleagues: we sort the pitch, the payments and the organising, and can top the group up with our own players if numbers are short.

Is there someone at Acetop Financial who looks after wellbeing or staff socials I should be speaking to? Happy to be pointed elsewhere.

Brian
FC Urban",,,,
Acolin Group Holdco,,Financial institution,EC4R 9AB,"12 ARTHUR STREET, LONDON",25/10/2019,GROUP,64209 - Activities of other holding companies n.e.c.,Borough Academy,18,postcode district,,,,,,"Hi {First} - I'm Brian from FC Urban. We run social football at Borough Academy, a 18-min walk from Acolin Group Holdco. Looking for someone inside the team up for starting an after-work game - we handle pitch, payments and organising. Open to a quick chat?",257,"Thanks for connecting, {First}.

Quick one - we run social football games at Borough Academy, about 18 minutes' walk from your office. A few City firms use them as an easy after-work thing for colleagues: we sort the pitch, the payments and the organising, and can top the group up with our own players if numbers are short.

Is there someone at Acolin Group Holdco who looks after wellbeing or staff socials I should be speaking to? Happy to be pointed elsewhere.

Brian
FC Urban",,,,
Acolin Group,,Financial institution,EC4R 9AB,"12 ARTHUR STREET, LONDON",25/10/2019,FULL,64999 - Financial intermediation not elsewhere classified,Borough Academy,18,postcode district,,,,,,"Hi {First} - I'm Brian from FC Urban. We run social football at Borough Academy, a 18-min walk from Acolin Group. Looking for someone inside the team up for starting an after-work game - we handle pitch, payments and organising. Open to a quick chat?",250,"Thanks for connecting, {First}.

Quick one - we run social football games at Borough Academy, about 18 minutes' walk from your office. A few City firms use them as an easy after-work thing for colleagues: we sort the pitch, the payments and the organising, and can top the group up with our own players if numbers are short.

Is there someone at Acolin Group who looks after wellbeing or staff socials I should be speaking to? Happy to be pointed elsewhere.

Brian
FC Urban",,,,
Acquire Media 1 Uk,,Financial institution,EC2V 7AE,"10 GRESHAM STREET, LONDON",24/09/2020,FULL,64209 - Activities of other holding companies n.e.c.,Borough Academy,23,postcode district,,,,,,"Hi {First} - I'm Brian from FC Urban. We run social football at Borough Academy, a 23-min walk from Acquire Media 1 Uk. Looking for someone inside the team up for starting an after-work game - we handle pitch, payments and organising. Open to a quick chat?",256,"Thanks for connecting, {First}.

Quick one - we run social football games at Borough Academy, about 23 minutes' walk from your office. A few City firms use them as an easy after-work thing for colleagues: we sort the pitch, the payments and the organising, and can top the group up with our own players if numbers are short.

Is there someone at Acquire Media 1 Uk who looks after wellbeing or staff socials I should be speaking to? Happy to be pointed elsewhere.

Brian
FC Urban",,,,
Active Underwriting Specialists,,Financial institution,EC3M 6BN,"6TH FLOOR SACKVILLE HOUSE, LONDON",10/01/2006,FULL,66220 - Activities of insurance agents and brokers,Borough Academy,26,exact postcode,,,,,,"Hi {First} - I'm Brian from FC Urban. We run social football at Borough Academy, a 26-min walk from Active Underwriting Specialists. Looking for someone inside the team up for starting an after-work game - we handle pitch, payments and organising. Open to a quick chat?",269,"Thanks for connecting, {First}.

Quick one - we run social football games at Borough Academy, about 26 minutes' walk from your office. A few City firms use them as an easy after-work thing for colleagues: we sort the pitch, the payments and the organising, and can top the group up with our own players if numbers are short.

Is there someone at Active Underwriting Specialists who looks after wellbeing or staff socials I should be speaking to? Happy to be pointed elsewhere.

Brian
FC Urban",,,,
