Business,Industry,Website,Address,Postcode,Nearest FC Urban venue,Walk (min),Contact first name,Contact full name,Contact job title,LinkedIn URL,Connection note (<=300),Note length,Follow-up DM,InMail subject,InMail body,LinkedIn status,Connected at,Replied,Notes
BondEsq Accounting & Bookkeeping Services,finance,https://www.bondesq.com/,"124 City Rd, London EC1V 2NX, UK",EC1V 2NX,Old St - Moreland Primary School,11,,,,,"Hi {First} - I'm Brian from FC Urban. We run social football at Old St - Moreland Primary School, a 11-min walk from BondEsq Accounting & Bookkeeping Services. Looking for someone inside the team up for starting an after-work game - we handle pitch, payments and organising. Open to a quick chat?",296,"Thanks for connecting, {First}.

Quick one - we run social football games at Old St - Moreland Primary School, about 11 minutes' walk from your office. A few City firms use them as an easy after-work thing for colleagues: we sort the pitch, the payments and the organising, and can top the group up with our own players if numbers are short.

Is there someone at BondEsq Accounting & Bookkeeping Services who looks after wellbeing or staff socials I should be speaking to? Happy to be pointed elsewhere.

Brian
FC Urban",After-work football near BondEsq Accounting & Bookkeeping Services,"Hi {First},

I'm Brian from FC Urban - we organise social football games across London where people just turn up and play.

We run games at Old St - Moreland Primary School, a 11-minute walk from your office. We're looking for someone at BondEsq Accounting & Bookkeeping Services who'd enjoy helping get a regular after-work game going for colleagues. We take care of the pitch, the payments and the organising, and top the group up with our own players if numbers are short - so it needs one person internally who likes football, not an organiser.

Would you be the right person, or could you point me to whoever looks after wellbeing or staff socials?

Brian
FC Urban",,,,
"COVRD, Life Insurance Advice London, Keyman & Relevant Life Brokers UK",insurance_agency,http://www.covrdme.co.uk/,"152 City Rd, London EC1V 2NX, UK",EC1V 2NX,Old St - Moreland Primary School,11,,,,,"Hi {First} - Brian from FC Urban. We run social football at Old St - Moreland Primary School, a 11-min walk from your office. Anyone at COVRD, Life Insurance Advice London, Keyman & Relevant Life Brokers UK up for starting an after-work game? We handle pitch, payments and organising.",284,"Thanks for connecting, {First}.

Quick one - we run social football games at Old St - Moreland Primary School, about 11 minutes' walk from your office. A few City firms use them as an easy after-work thing for colleagues: we sort the pitch, the payments and the organising, and can top the group up with our own players if numbers are short.

Is there someone at COVRD, Life Insurance Advice London, Keyman & Relevant Life Brokers UK who looks after wellbeing or staff socials I should be speaking to? Happy to be pointed elsewhere.

Brian
FC Urban","After-work football near COVRD, Life Insurance Advice London, Keyman & Relevant Life Brokers UK","Hi {First},

I'm Brian from FC Urban - we organise social football games across London where people just turn up and play.

We run games at Old St - Moreland Primary School, a 11-minute walk from your office. We're looking for someone at COVRD, Life Insurance Advice London, Keyman & Relevant Life Brokers UK who'd enjoy helping get a regular after-work game going for colleagues. We take care of the pitch, the payments and the organising, and top the group up with our own players if numbers are short - so it needs one person internally who likes football, not an organiser.

Would you be the right person, or could you point me to whoever looks after wellbeing or staff socials?

Brian
FC Urban",,,,
Cloudkeepers Accountants,finance,http://cloud-keepers.co.uk/,"124 City Rd, London EC1V 2NX, UK",EC1V 2NX,Old St - Moreland Primary School,11,,,,,"Hi {First} - I'm Brian from FC Urban. We run social football at Old St - Moreland Primary School, a 11-min walk from Cloudkeepers Accountants. Looking for someone inside the team up for starting an after-work game - we handle pitch, payments and organising. Open to a quick chat?",279,"Thanks for connecting, {First}.

Quick one - we run social football games at Old St - Moreland Primary School, about 11 minutes' walk from your office. A few City firms use them as an easy after-work thing for colleagues: we sort the pitch, the payments and the organising, and can top the group up with our own players if numbers are short.

Is there someone at Cloudkeepers Accountants who looks after wellbeing or staff socials I should be speaking to? Happy to be pointed elsewhere.

Brian
FC Urban",After-work football near Cloudkeepers Accountants,"Hi {First},

I'm Brian from FC Urban - we organise social football games across London where people just turn up and play.

We run games at Old St - Moreland Primary School, a 11-minute walk from your office. We're looking for someone at Cloudkeepers Accountants who'd enjoy helping get a regular after-work game going for colleagues. We take care of the pitch, the payments and the organising, and top the group up with our own players if numbers are short - so it needs one person internally who likes football, not an organiser.

Would you be the right person, or could you point me to whoever looks after wellbeing or staff socials?

Brian
FC Urban",,,,
Sprouting Accounting,finance,https://www.sproutingaccounting.co.uk/,"124-128 City Rd, London EC1V 2NX, UK",EC1V 2NX,Old St - Moreland Primary School,11,,,,,"Hi {First} - I'm Brian from FC Urban. We run social football at Old St - Moreland Primary School, a 11-min walk from Sprouting Accounting. Looking for someone inside the team up for starting an after-work game - we handle pitch, payments and organising. Open to a quick chat?",275,"Thanks for connecting, {First}.

Quick one - we run social football games at Old St - Moreland Primary School, about 11 minutes' walk from your office. A few City firms use them as an easy after-work thing for colleagues: we sort the pitch, the payments and the organising, and can top the group up with our own players if numbers are short.

Is there someone at Sprouting Accounting who looks after wellbeing or staff socials I should be speaking to? Happy to be pointed elsewhere.

Brian
FC Urban",After-work football near Sprouting Accounting,"Hi {First},

I'm Brian from FC Urban - we organise social football games across London where people just turn up and play.

We run games at Old St - Moreland Primary School, a 11-minute walk from your office. We're looking for someone at Sprouting Accounting who'd enjoy helping get a regular after-work game going for colleagues. We take care of the pitch, the payments and the organising, and top the group up with our own players if numbers are short - so it needs one person internally who likes football, not an organiser.

Would you be the right person, or could you point me to whoever looks after wellbeing or staff socials?

Brian
FC Urban",,,,
Beavis Morgan,finance,http://www.beavismorgan.com/,"82 St John St, London EC1M 4JN, UK",EC1M 4JN,Old St - Moreland Primary School,12,,,,,"Hi {First} - I'm Brian from FC Urban. We run social football at Old St - Moreland Primary School, a 12-min walk from Beavis Morgan. Looking for someone inside the team up for starting an after-work game - we handle pitch, payments and organising. Open to a quick chat?",268,"Thanks for connecting, {First}.

Quick one - we run social football games at Old St - Moreland Primary School, about 12 minutes' walk from your office. A few City firms use them as an easy after-work thing for colleagues: we sort the pitch, the payments and the organising, and can top the group up with our own players if numbers are short.

Is there someone at Beavis Morgan who looks after wellbeing or staff socials I should be speaking to? Happy to be pointed elsewhere.

Brian
FC Urban",After-work football near Beavis Morgan,"Hi {First},

I'm Brian from FC Urban - we organise social football games across London where people just turn up and play.

We run games at Old St - Moreland Primary School, a 12-minute walk from your office. We're looking for someone at Beavis Morgan who'd enjoy helping get a regular after-work game going for colleagues. We take care of the pitch, the payments and the organising, and top the group up with our own players if numbers are short - so it needs one person internally who likes football, not an organiser.

Would you be the right person, or could you point me to whoever looks after wellbeing or staff socials?

Brian
FC Urban",,,,
Cuvva,insurance_agency,https://www.cuvva.com/,"The Old Sessions House, 23 Clerkenwell Grn, London EC1R 0NA, UK",EC1R 0NA,Old St - Moreland Primary School,13,,,,,"Hi {First} - I'm Brian from FC Urban. We run social football at Old St - Moreland Primary School, a 13-min walk from Cuvva. Looking for someone inside the team up for starting an after-work game - we handle pitch, payments and organising. Open to a quick chat?",260,"Thanks for connecting, {First}.

Quick one - we run social football games at Old St - Moreland Primary School, about 13 minutes' walk from your office. A few City firms use them as an easy after-work thing for colleagues: we sort the pitch, the payments and the organising, and can top the group up with our own players if numbers are short.

Is there someone at Cuvva who looks after wellbeing or staff socials I should be speaking to? Happy to be pointed elsewhere.

Brian
FC Urban",After-work football near Cuvva,"Hi {First},

I'm Brian from FC Urban - we organise social football games across London where people just turn up and play.

We run games at Old St - Moreland Primary School, a 13-minute walk from your office. We're looking for someone at Cuvva who'd enjoy helping get a regular after-work game going for colleagues. We take care of the pitch, the payments and the organising, and top the group up with our own players if numbers are short - so it needs one person internally who likes football, not an organiser.

Would you be the right person, or could you point me to whoever looks after wellbeing or staff socials?

Brian
FC Urban",,,,
CIGMA ACCOUNTING LTD - Farringdon,finance,https://cigmaaccounting.co.uk/accountants-farringdon/,"127 Farringdon Rd, London EC1R 3DA, UK",EC1R 3DA,Old St - Moreland Primary School,14,,,,,"Hi {First} - I'm Brian from FC Urban. We run social football at Old St - Moreland Primary School, a 14-min walk from CIGMA ACCOUNTING LTD - Farringdon. Looking for someone inside the team up for starting an after-work game - we handle pitch, payments and organising. Open to a quick chat?",288,"Thanks for connecting, {First}.

Quick one - we run social football games at Old St - Moreland Primary School, about 14 minutes' walk from your office. A few City firms use them as an easy after-work thing for colleagues: we sort the pitch, the payments and the organising, and can top the group up with our own players if numbers are short.

Is there someone at CIGMA ACCOUNTING LTD - Farringdon who looks after wellbeing or staff socials I should be speaking to? Happy to be pointed elsewhere.

Brian
FC Urban",After-work football near CIGMA ACCOUNTING LTD - Farringdon,"Hi {First},

I'm Brian from FC Urban - we organise social football games across London where people just turn up and play.

We run games at Old St - Moreland Primary School, a 14-minute walk from your office. We're looking for someone at CIGMA ACCOUNTING LTD - Farringdon who'd enjoy helping get a regular after-work game going for colleagues. We take care of the pitch, the payments and the organising, and top the group up with our own players if numbers are short - so it needs one person internally who likes football, not an organiser.

Would you be the right person, or could you point me to whoever looks after wellbeing or staff socials?

Brian
FC Urban",,,,
Newinton Accountancy Ltd,finance,http://www.newintonacc.com/,"9 Chapel Pl, Rivington St, London EC2A 3DQ, UK",EC2A 3DQ,Shoreditch Rooftop,15,,,,,"Hi {First} - I'm Brian from FC Urban. We run social football at Shoreditch Rooftop, a 15-min walk from Newinton Accountancy Ltd. Looking for someone inside the team up for starting an after-work game - we handle pitch, payments and organising. Open to a quick chat?",265,"Thanks for connecting, {First}.

Quick one - we run social football games at Shoreditch Rooftop, about 15 minutes' walk from your office. A few City firms use them as an easy after-work thing for colleagues: we sort the pitch, the payments and the organising, and can top the group up with our own players if numbers are short.

Is there someone at Newinton Accountancy Ltd who looks after wellbeing or staff socials I should be speaking to? Happy to be pointed elsewhere.

Brian
FC Urban",After-work football near Newinton Accountancy Ltd,"Hi {First},

I'm Brian from FC Urban - we organise social football games across London where people just turn up and play.

We run games at Shoreditch Rooftop, a 15-minute walk from your office. We're looking for someone at Newinton Accountancy Ltd who'd enjoy helping get a regular after-work game going for colleagues. We take care of the pitch, the payments and the organising, and top the group up with our own players if numbers are short - so it needs one person internally who likes football, not an organiser.

Would you be the right person, or could you point me to whoever looks after wellbeing or staff socials?

Brian
FC Urban",,,,
A&Z Accountancy Ltd,finance,http://azaccountancyltd.co.uk/,"3rd, 86-90 Paul St, London EC2A 4NE, UK",EC2A 4NE,Shoreditch Rooftop,16,,,,,"Hi {First} - I'm Brian from FC Urban. We run social football at Shoreditch Rooftop, a 16-min walk from A&Z Accountancy Ltd. Looking for someone inside the team up for starting an after-work game - we handle pitch, payments and organising. Open to a quick chat?",260,"Thanks for connecting, {First}.

Quick one - we run social football games at Shoreditch Rooftop, about 16 minutes' walk from your office. A few City firms use them as an easy after-work thing for colleagues: we sort the pitch, the payments and the organising, and can top the group up with our own players if numbers are short.

Is there someone at A&Z Accountancy Ltd who looks after wellbeing or staff socials I should be speaking to? Happy to be pointed elsewhere.

Brian
FC Urban",After-work football near A&Z Accountancy Ltd,"Hi {First},

I'm Brian from FC Urban - we organise social football games across London where people just turn up and play.

We run games at Shoreditch Rooftop, a 16-minute walk from your office. We're looking for someone at A&Z Accountancy Ltd who'd enjoy helping get a regular after-work game going for colleagues. We take care of the pitch, the payments and the organising, and top the group up with our own players if numbers are short - so it needs one person internally who likes football, not an organiser.

Would you be the right person, or could you point me to whoever looks after wellbeing or staff socials?

Brian
FC Urban",,,,
Bambridge Accountants,finance,http://www.bambridgeaccountants.com/,"3rd Floor, BAMBRIDGE ACCOUNTANTS LTD, 86-90 Paul St, London EC2A 4NE, UK",EC2A 4NE,Shoreditch Rooftop,16,,,,,"Hi {First} - I'm Brian from FC Urban. We run social football at Shoreditch Rooftop, a 16-min walk from Bambridge Accountants. Looking for someone inside the team up for starting an after-work game - we handle pitch, payments and organising. Open to a quick chat?",262,"Thanks for connecting, {First}.

Quick one - we run social football games at Shoreditch Rooftop, about 16 minutes' walk from your office. A few City firms use them as an easy after-work thing for colleagues: we sort the pitch, the payments and the organising, and can top the group up with our own players if numbers are short.

Is there someone at Bambridge Accountants who looks after wellbeing or staff socials I should be speaking to? Happy to be pointed elsewhere.

Brian
FC Urban",After-work football near Bambridge Accountants,"Hi {First},

I'm Brian from FC Urban - we organise social football games across London where people just turn up and play.

We run games at Shoreditch Rooftop, a 16-minute walk from your office. We're looking for someone at Bambridge Accountants who'd enjoy helping get a regular after-work game going for colleagues. We take care of the pitch, the payments and the organising, and top the group up with our own players if numbers are short - so it needs one person internally who likes football, not an organiser.

Would you be the right person, or could you point me to whoever looks after wellbeing or staff socials?

Brian
FC Urban",,,,
