Priority,Company name,Companies House number,Category,Postcode,Registered address,Incorporated,Accounts type,SIC codes,Nearest FC Urban venue,Walk (min),Venue match,In existing FC Urban sheet?,Contact first name,Contact full name,Contact job title,LinkedIn URL,Connection note (<=300),Note length,Follow-up DM,LinkedIn status,Connected at,Replied,Notes
1,Caledonia,,Financial institution,EC1M 4JN,82 SAINT JOHN STREET,03/03/2003,GROUP,64209 - Activities of other holding companies n.e.c.,Old St - Moreland Primary School,12,exact postcode,,,,,,"Hi {First} - I'm Joep from FC Urban. We run social football at Old St - Moreland Primary School, a 12-min walk from Caledonia. Looking for someone inside the team up for starting an after-work game - we handle pitch, payments and organising. Open to a quick chat?",263,"Thanks for connecting, {First}.

Quick one - we run social football games at Old St - Moreland Primary School, about 12 minutes' walk from your office. A few City firms use them as an easy after-work thing for colleagues: we sort the pitch, the payments and the organising, and can top the group up with our own players if numbers are short.

Is there someone at Caledonia who looks after wellbeing or staff socials I should be speaking to? Happy to be pointed elsewhere.

Joep
FC Urban",,,,
2,Green And Fortune Holdings,,Financial institution,EC1M 4JN,"C/O BEAVIS MORGAN, LONDON",25/03/2015,GROUP,64209 - Activities of other holding companies n.e.c.,Old St - Moreland Primary School,12,exact postcode,,,,,,"Hi {First} - I'm Joep from FC Urban. We run social football at Old St - Moreland Primary School, a 12-min walk from Green And Fortune Holdings. Looking for someone inside the team up for starting an after-work game - we handle pitch, payments and organising. Open to a quick chat?",280,"Thanks for connecting, {First}.

Quick one - we run social football games at Old St - Moreland Primary School, about 12 minutes' walk from your office. A few City firms use them as an easy after-work thing for colleagues: we sort the pitch, the payments and the organising, and can top the group up with our own players if numbers are short.

Is there someone at Green And Fortune Holdings who looks after wellbeing or staff socials I should be speaking to? Happy to be pointed elsewhere.

Joep
FC Urban",,,,
3,Zorca Holding London,,Financial institution,EC1M 5RJ,"MARRABLE'S HOTEL, LONDON",11/09/2020,GROUP,64209 - Activities of other holding companies n.e.c. | 70100 - Activities of head offices,Old St - Moreland Primary School,12,exact postcode,,,,,,"Hi {First} - I'm Joep from FC Urban. We run social football at Old St - Moreland Primary School, a 12-min walk from Zorca Holding London. Looking for someone inside the team up for starting an after-work game - we handle pitch, payments and organising. Open to a quick chat?",274,"Thanks for connecting, {First}.

Quick one - we run social football games at Old St - Moreland Primary School, about 12 minutes' walk from your office. A few City firms use them as an easy after-work thing for colleagues: we sort the pitch, the payments and the organising, and can top the group up with our own players if numbers are short.

Is there someone at Zorca Holding London who looks after wellbeing or staff socials I should be speaking to? Happy to be pointed elsewhere.

Joep
FC Urban",,,,
4,Wiredscore Emea,,Financial institution,EC1Y 8AF,"4 OLD STREET YARD, LONDON",01/08/2016,GROUP,64209 - Activities of other holding companies n.e.c.,Old St - Moreland Primary School,13,exact postcode,,,,,,"Hi {First} - I'm Joep from FC Urban. We run social football at Old St - Moreland Primary School, a 13-min walk from Wiredscore Emea. Looking for someone inside the team up for starting an after-work game - we handle pitch, payments and organising. Open to a quick chat?",269,"Thanks for connecting, {First}.

Quick one - we run social football games at Old St - Moreland Primary School, about 13 minutes' walk from your office. A few City firms use them as an easy after-work thing for colleagues: we sort the pitch, the payments and the organising, and can top the group up with our own players if numbers are short.

Is there someone at Wiredscore Emea who looks after wellbeing or staff socials I should be speaking to? Happy to be pointed elsewhere.

Joep
FC Urban",,,,
5,Imagine Mortgages,,Financial institution,EC1Y 8AF,"WHITE COLLAR FACTORY 1 OLD STREET YARD, LONDON",16/07/2018,GROUP,64922 - Activities of mortgage finance companies,Old St - Moreland Primary School,13,exact postcode,,,,,,"Hi {First} - I'm Joep from FC Urban. We run social football at Old St - Moreland Primary School, a 13-min walk from Imagine Mortgages. Looking for someone inside the team up for starting an after-work game - we handle pitch, payments and organising. Open to a quick chat?",271,"Thanks for connecting, {First}.

Quick one - we run social football games at Old St - Moreland Primary School, about 13 minutes' walk from your office. A few City firms use them as an easy after-work thing for colleagues: we sort the pitch, the payments and the organising, and can top the group up with our own players if numbers are short.

Is there someone at Imagine Mortgages who looks after wellbeing or staff socials I should be speaking to? Happy to be pointed elsewhere.

Joep
FC Urban",,,,
6,The Cuvva Group,,Financial institution,EC1R 0NA,"4TH FLOOR OLD SESSIONS HOUSE, LONDON",06/07/2021,GROUP,64209 - Activities of other holding companies n.e.c.,Old St - Moreland Primary School,13,exact postcode,,,,,,"Hi {First} - I'm Joep from FC Urban. We run social football at Old St - Moreland Primary School, a 13-min walk from The Cuvva Group. Looking for someone inside the team up for starting an after-work game - we handle pitch, payments and organising. Open to a quick chat?",269,"Thanks for connecting, {First}.

Quick one - we run social football games at Old St - Moreland Primary School, about 13 minutes' walk from your office. A few City firms use them as an easy after-work thing for colleagues: we sort the pitch, the payments and the organising, and can top the group up with our own players if numbers are short.

Is there someone at The Cuvva Group who looks after wellbeing or staff socials I should be speaking to? Happy to be pointed elsewhere.

Joep
FC Urban",,,,
7,The Mailing Room Holdings,,Financial institution,EC1R 3BX,"C/O BEVAN KIDWELL, LONDON",18/03/1998,GROUP,64209 - Activities of other holding companies n.e.c.,Old St - Moreland Primary School,14,exact postcode,,,,,,"Hi {First} - I'm Joep from FC Urban. We run social football at Old St - Moreland Primary School, a 14-min walk from The Mailing Room Holdings. Looking for someone inside the team up for starting an after-work game - we handle pitch, payments and organising. Open to a quick chat?",279,"Thanks for connecting, {First}.

Quick one - we run social football games at Old St - Moreland Primary School, about 14 minutes' walk from your office. A few City firms use them as an easy after-work thing for colleagues: we sort the pitch, the payments and the organising, and can top the group up with our own players if numbers are short.

Is there someone at The Mailing Room Holdings who looks after wellbeing or staff socials I should be speaking to? Happy to be pointed elsewhere.

Joep
FC Urban",,,,
8,Modulr Holdings,,Financial institution,EC1Y 2AL,"THE FEATHERSTONE BUILDING, LONDON",01/12/2015,GROUP,64209 - Activities of other holding companies n.e.c.,Old St - Moreland Primary School,14,exact postcode,,,,,,"Hi {First} - I'm Joep from FC Urban. We run social football at Old St - Moreland Primary School, a 14-min walk from Modulr Holdings. Looking for someone inside the team up for starting an after-work game - we handle pitch, payments and organising. Open to a quick chat?",269,"Thanks for connecting, {First}.

Quick one - we run social football games at Old St - Moreland Primary School, about 14 minutes' walk from your office. A few City firms use them as an easy after-work thing for colleagues: we sort the pitch, the payments and the organising, and can top the group up with our own players if numbers are short.

Is there someone at Modulr Holdings who looks after wellbeing or staff socials I should be speaking to? Happy to be pointed elsewhere.

Joep
FC Urban",,,,
9,The Mailing Room,,Financial institution,EC1R 3BX,"C/O BEVAN KIDWELL, LONDON",09/02/1999,FULL,64910 - Financial leasing,Old St - Moreland Primary School,14,exact postcode,,,,,,"Hi {First} - I'm Joep from FC Urban. We run social football at Old St - Moreland Primary School, a 14-min walk from The Mailing Room. Looking for someone inside the team up for starting an after-work game - we handle pitch, payments and organising. Open to a quick chat?",270,"Thanks for connecting, {First}.

Quick one - we run social football games at Old St - Moreland Primary School, about 14 minutes' walk from your office. A few City firms use them as an easy after-work thing for colleagues: we sort the pitch, the payments and the organising, and can top the group up with our own players if numbers are short.

Is there someone at The Mailing Room who looks after wellbeing or staff socials I should be speaking to? Happy to be pointed elsewhere.

Joep
FC Urban",,,,
10,Xbridge,,Financial institution,EC1Y 8LZ,"4TH FLOOR HYLO 105, LONDON",04/04/2000,FULL,66220 - Activities of insurance agents and brokers,Old St - Moreland Primary School,14,exact postcode,,,,,,"Hi {First} - I'm Joep from FC Urban. We run social football at Old St - Moreland Primary School, a 14-min walk from Xbridge. Looking for someone inside the team up for starting an after-work game - we handle pitch, payments and organising. Open to a quick chat?",261,"Thanks for connecting, {First}.

Quick one - we run social football games at Old St - Moreland Primary School, about 14 minutes' walk from your office. A few City firms use them as an easy after-work thing for colleagues: we sort the pitch, the payments and the organising, and can top the group up with our own players if numbers are short.

Is there someone at Xbridge who looks after wellbeing or staff socials I should be speaking to? Happy to be pointed elsewhere.

Joep
FC Urban",,,,
