Business,Email,Email type,Phone (international),Website,Industry,Address,Postcode,City,Currently tagged venue,Walk to tagged venue (min),Tagged venue: booking status,Tagged venue: open after-work slots,Tagged venue: earliest slot,Haggerston Park: status,Best bookable alternatives nearby
City Realtor,sales@cityrealtor.co.uk,commercial,+44 20 7790 7702,https://www.cityrealtor.co.uk/,estate_agent,"52 Cannon Street Road, London",E1 0BH,London,Whitechapel,6,Contact required,Contact required: 020 7790 3854,,Contact required: 020 8986 7955 (Mon-Fri 09:00-15:30) / hackney.marshes@gll.org. Playfinder shows fully booked,COLA Shoreditch Park: Tue 29 Sep 17:30 (£91) · 5-a-side · ~£9.10 per player at cost; Old St - Moreland Primary School: Fri 2 Oct 20:00 (£90) · 6-a-side · ~£7.50 per player at cost; Shoreditch Rooftop: Mon 28 Sep 18:00 (£72) · 5-a-side · ~£7.22 per player at cost; Stepney 3G: Mon 28 Sep 17:30 (£3/pp) · 5-a-side · ~£3.00 per player at cost
Cable Street Inn,info@cablestreetinn.co.uk,openstreetmap_tag,+44 20 7790 4019,https://www.cablestreetinn.co.uk/,tourism: guest house,"Cable Street 232, London",E1 0BL,London,Whitechapel,6,Contact required,Contact required: 020 7790 3854,,Contact required: 020 8986 7955 (Mon-Fri 09:00-15:30) / hackney.marshes@gll.org. Playfinder shows fully booked,COLA Shoreditch Park: Tue 29 Sep 17:30 (£91) · 5-a-side · ~£9.10 per player at cost; Old St - Moreland Primary School: Fri 2 Oct 20:00 (£90) · 6-a-side · ~£7.50 per player at cost; Shoreditch Rooftop: Mon 28 Sep 18:00 (£72) · 5-a-side · ~£7.22 per player at cost; Stepney 3G: Mon 28 Sep 17:30 (£3/pp) · 5-a-side · ~£3.00 per player at cost
Troxy,hello@troxy.co.uk,general,+44 20 7790 9000,https://troxy.co.uk/,amenity: nightclub,"Commercial Road 490, London",E1 0HX,London,Stepney 3G,20,Available,Mon 28 Sep 17:30 (£3/pp); Mon 28 Sep 18:30 (£5/pp); Mon 28 Sep 19:30 (£5/pp); Mon 28 Sep 20:30 (£5/pp); Tue 29 Sep 17:30 (£3/pp); Tue 29 Sep 18:30 (£5/pp); +26 more,Mon 28 Sep 17:30 (£3/pp) · 5-a-side · ~£3.00 per player at cost,Contact required: 020 8986 7955 (Mon-Fri 09:00-15:30) / hackney.marshes@gll.org. Playfinder shows fully booked,
HSR Solicitors,info@hsrsolicitors.com,general,+44 20 7791 1111,http://www.hsrsolicitors.com/,lawyer,"526 Commercial Rd, London E1 0HY, UK",E1 0HY,London,Whitechapel,18,Contact required,Contact required: 020 7790 3854,,Contact required: 020 8986 7955 (Mon-Fri 09:00-15:30) / hackney.marshes@gll.org. Playfinder shows fully booked,COLA Shoreditch Park: Tue 29 Sep 17:30 (£91) · 5-a-side · ~£9.10 per player at cost; Old St - Moreland Primary School: Fri 2 Oct 20:00 (£90) · 6-a-side · ~£7.50 per player at cost; Shoreditch Rooftop: Mon 28 Sep 18:00 (£72) · 5-a-side · ~£7.22 per player at cost; Stepney 3G: Mon 28 Sep 17:30 (£3/pp) · 5-a-side · ~£3.00 per player at cost
IBW Solicitors,info@ibwsolicitors.co.uk,general,+44 20 3500 4594,http://www.ibwsolicitors.co.uk/,lawyer,"51 Caroline St, London E1 0JG, UK",E1 0JG,London,Whitechapel,18,Contact required,Contact required: 020 7790 3854,,Contact required: 020 8986 7955 (Mon-Fri 09:00-15:30) / hackney.marshes@gll.org. Playfinder shows fully booked,COLA Shoreditch Park: Tue 29 Sep 17:30 (£91) · 5-a-side · ~£9.10 per player at cost; Old St - Moreland Primary School: Fri 2 Oct 20:00 (£90) · 6-a-side · ~£7.50 per player at cost; Shoreditch Rooftop: Mon 28 Sep 18:00 (£72) · 5-a-side · ~£7.22 per player at cost; Stepney 3G: Mon 28 Sep 17:30 (£3/pp) · 5-a-side · ~£3.00 per player at cost
The George Tavern,georgetavernbookings@gmail.com,freemail,+44 20 7790 7335,https://thegeorgetavern.london/,amenity: pub,"Commercial Road 373, London",E1 0LA,London,Stepney 3G,17,Available,Mon 28 Sep 17:30 (£3/pp); Mon 28 Sep 18:30 (£5/pp); Mon 28 Sep 19:30 (£5/pp); Mon 28 Sep 20:30 (£5/pp); Tue 29 Sep 17:30 (£3/pp); Tue 29 Sep 18:30 (£5/pp); +26 more,Mon 28 Sep 17:30 (£3/pp) · 5-a-side · ~£3.00 per player at cost,Contact required: 020 8986 7955 (Mon-Fri 09:00-15:30) / hackney.marshes@gll.org. Playfinder shows fully booked,
Marion Richardson Primary School,admin@marionrichardson.towerhamlets.sch.uk,general,+44 20 7790 1441,https://www.marionrichardson.towerhamlets.sch.uk/,amenity: school,"Senrab Street, London",E1 0QF,London,Stepney 3G,18,Available,Mon 28 Sep 17:30 (£3/pp); Mon 28 Sep 18:30 (£5/pp); Mon 28 Sep 19:30 (£5/pp); Mon 28 Sep 20:30 (£5/pp); Tue 29 Sep 17:30 (£3/pp); Tue 29 Sep 18:30 (£5/pp); +26 more,Mon 28 Sep 17:30 (£3/pp) · 5-a-side · ~£3.00 per player at cost,Contact required: 020 8986 7955 (Mon-Fri 09:00-15:30) / hackney.marshes@gll.org. Playfinder shows fully booked,
Stepney All Saints Church of England Secondary School,info@stepneyallsaints.school,general,+44 20 7790 6712,https://stepneyallsaints.school/,amenity: school,"Stepney Way, London",E1 0RH,London,Stepney 3G,14,Available,Mon 28 Sep 17:30 (£3/pp); Mon 28 Sep 18:30 (£5/pp); Mon 28 Sep 19:30 (£5/pp); Mon 28 Sep 20:30 (£5/pp); Tue 29 Sep 17:30 (£3/pp); Tue 29 Sep 18:30 (£5/pp); +26 more,Mon 28 Sep 17:30 (£3/pp) · 5-a-side · ~£3.00 per player at cost,Contact required: 020 8986 7955 (Mon-Fri 09:00-15:30) / hackney.marshes@gll.org. Playfinder shows fully booked,
Aurex Accountants Ltd,operations@aurexaccountants.co.uk,person_or_other,+44 20 3051 7112,http://aurexaccountants.co.uk/,finance,"5 Brayford Sq, Stepney Green, London E1 0SG, UK",E1 0SG,London,Whitechapel,9,Contact required,Contact required: 020 7790 3854,,Contact required: 020 8986 7955 (Mon-Fri 09:00-15:30) / hackney.marshes@gll.org. Playfinder shows fully booked,COLA Shoreditch Park: Tue 29 Sep 17:30 (£91) · 5-a-side · ~£9.10 per player at cost; Old St - Moreland Primary School: Fri 2 Oct 20:00 (£90) · 6-a-side · ~£7.50 per player at cost; Shoreditch Rooftop: Mon 28 Sep 18:00 (£72) · 5-a-side · ~£7.22 per player at cost; Stepney 3G: Mon 28 Sep 17:30 (£3/pp) · 5-a-side · ~£3.00 per player at cost
Fenn Digital - Website Designer in London,info@fenn.digital,general,+44 7882 962776,https://fenn.digital/,service,"5 Brayford Sq, Stepney Green, London E1 0SG, UK",E1 0SG,London,Whitechapel,9,Contact required,Contact required: 020 7790 3854,,Contact required: 020 8986 7955 (Mon-Fri 09:00-15:30) / hackney.marshes@gll.org. Playfinder shows fully booked,COLA Shoreditch Park: Tue 29 Sep 17:30 (£91) · 5-a-side · ~£9.10 per player at cost; Old St - Moreland Primary School: Fri 2 Oct 20:00 (£90) · 6-a-side · ~£7.50 per player at cost; Shoreditch Rooftop: Mon 28 Sep 18:00 (£72) · 5-a-side · ~£7.22 per player at cost; Stepney 3G: Mon 28 Sep 17:30 (£3/pp) · 5-a-side · ~£3.00 per player at cost
MNG Accountants Ltd,accountants@mngaccountants.uk,person_or_other,+44 7414 144486,https://mngaccountants.uk/,finance,"5 Brayford Sq, Stepney Green, London E1 0SG, UK",E1 0SG,London,Whitechapel,9,Contact required,Contact required: 020 7790 3854,,Contact required: 020 8986 7955 (Mon-Fri 09:00-15:30) / hackney.marshes@gll.org. Playfinder shows fully booked,COLA Shoreditch Park: Tue 29 Sep 17:30 (£91) · 5-a-side · ~£9.10 per player at cost; Old St - Moreland Primary School: Fri 2 Oct 20:00 (£90) · 6-a-side · ~£7.50 per player at cost; Shoreditch Rooftop: Mon 28 Sep 18:00 (£72) · 5-a-side · ~£7.22 per player at cost; Stepney 3G: Mon 28 Sep 17:30 (£3/pp) · 5-a-side · ~£3.00 per player at cost
Resolution Finance,gurv@resolutionfs.co.uk,person_or_other,+44 7377 910647,https://resolutionfs.co.uk/,finance,"5 Brayford Sq, Stepney Green, London E1 0SG, UK",E1 0SG,London,Whitechapel,9,Contact required,Contact required: 020 7790 3854,,Contact required: 020 8986 7955 (Mon-Fri 09:00-15:30) / hackney.marshes@gll.org. Playfinder shows fully booked,COLA Shoreditch Park: Tue 29 Sep 17:30 (£91) · 5-a-side · ~£9.10 per player at cost; Old St - Moreland Primary School: Fri 2 Oct 20:00 (£90) · 6-a-side · ~£7.50 per player at cost; Shoreditch Rooftop: Mon 28 Sep 18:00 (£72) · 5-a-side · ~£7.22 per player at cost; Stepney 3G: Mon 28 Sep 17:30 (£3/pp) · 5-a-side · ~£3.00 per player at cost
UltraScout AI,aeo@ultrascout.ai,person_or_other,,https://www.ultrascout.ai/,consultant,"5 Brayford Sq, Stepney Green, London E1 0SG, UK",E1 0SG,London,Whitechapel,9,Contact required,Contact required: 020 7790 3854,,Contact required: 020 8986 7955 (Mon-Fri 09:00-15:30) / hackney.marshes@gll.org. Playfinder shows fully booked,COLA Shoreditch Park: Tue 29 Sep 17:30 (£91) · 5-a-side · ~£9.10 per player at cost; Old St - Moreland Primary School: Fri 2 Oct 20:00 (£90) · 6-a-side · ~£7.50 per player at cost; Shoreditch Rooftop: Mon 28 Sep 18:00 (£72) · 5-a-side · ~£7.22 per player at cost; Stepney 3G: Mon 28 Sep 17:30 (£3/pp) · 5-a-side · ~£3.00 per player at cost
Acorn Homecover Ltd,info@acornhomecover.co.uk,general,+44 29 2297 2600,https://acornhomecover.co.uk/,insurance_agency,"5 Brayford Sq, Stepney Green, London E1 0SG, UK",E1 0SG,London,Whitechapel,10,Contact required,Contact required: 020 7790 3854,,Contact required: 020 8986 7955 (Mon-Fri 09:00-15:30) / hackney.marshes@gll.org. Playfinder shows fully booked,COLA Shoreditch Park: Tue 29 Sep 17:30 (£91) · 5-a-side · ~£9.10 per player at cost; Old St - Moreland Primary School: Fri 2 Oct 20:00 (£90) · 6-a-side · ~£7.50 per player at cost; Shoreditch Rooftop: Mon 28 Sep 18:00 (£72) · 5-a-side · ~£7.22 per player at cost; Stepney 3G: Mon 28 Sep 17:30 (£3/pp) · 5-a-side · ~£3.00 per player at cost
LM Companion,team@lmcompanion.com,general,+44 20 7965 7543,https://lmcompanion.com/,service,"5 Brayford Sq, Stepney Green, London E1 0SG, UK",E1 0SG,London,Whitechapel,10,Contact required,Contact required: 020 7790 3854,,Contact required: 020 8986 7955 (Mon-Fri 09:00-15:30) / hackney.marshes@gll.org. Playfinder shows fully booked,COLA Shoreditch Park: Tue 29 Sep 17:30 (£91) · 5-a-side · ~£9.10 per player at cost; Old St - Moreland Primary School: Fri 2 Oct 20:00 (£90) · 6-a-side · ~£7.50 per player at cost; Shoreditch Rooftop: Mon 28 Sep 18:00 (£72) · 5-a-side · ~£7.22 per player at cost; Stepney 3G: Mon 28 Sep 17:30 (£3/pp) · 5-a-side · ~£3.00 per player at cost
SimplyExcess,info@simplyexcess.com,general,,https://simplyexcess.com/?utm_source=google&utm_medium=local&utm_campaign=1&utm_content=primary,insurance_agency,"5 Brayford Sq, Stepney Green, London E1 0SG, UK",E1 0SG,London,Whitechapel,10,Contact required,Contact required: 020 7790 3854,,Contact required: 020 8986 7955 (Mon-Fri 09:00-15:30) / hackney.marshes@gll.org. Playfinder shows fully booked,COLA Shoreditch Park: Tue 29 Sep 17:30 (£91) · 5-a-side · ~£9.10 per player at cost; Old St - Moreland Primary School: Fri 2 Oct 20:00 (£90) · 6-a-side · ~£7.50 per player at cost; Shoreditch Rooftop: Mon 28 Sep 18:00 (£72) · 5-a-side · ~£7.22 per player at cost; Stepney 3G: Mon 28 Sep 17:30 (£3/pp) · 5-a-side · ~£3.00 per player at cost
ADHD Clinic,sarah@adhd-clinic.co.uk,person_or_other,+44 7397 515069,https://adhd-clinic.co.uk/,amenity: clinic,"Brayford Square 5-8, London",E1 0SG,London,Stepney 3G,16,Available,Mon 28 Sep 17:30 (£3/pp); Mon 28 Sep 18:30 (£5/pp); Mon 28 Sep 19:30 (£5/pp); Mon 28 Sep 20:30 (£5/pp); Tue 29 Sep 17:30 (£3/pp); Tue 29 Sep 18:30 (£5/pp); +26 more,Mon 28 Sep 17:30 (£3/pp) · 5-a-side · ~£3.00 per player at cost,Contact required: 020 8986 7955 (Mon-Fri 09:00-15:30) / hackney.marshes@gll.org. Playfinder shows fully booked,
Visas International,info@visasint.com,general,+44 20 3603 1135,https://visasint.com,company,"19 Plumbers Row, London",E1 1AE,London,Whitechapel,8,Contact required,Contact required: 020 7790 3854,,Contact required: 020 8986 7955 (Mon-Fri 09:00-15:30) / hackney.marshes@gll.org. Playfinder shows fully booked,COLA Shoreditch Park: Tue 29 Sep 17:30 (£91) · 5-a-side · ~£9.10 per player at cost; Old St - Moreland Primary School: Fri 2 Oct 20:00 (£90) · 6-a-side · ~£7.50 per player at cost; Shoreditch Rooftop: Mon 28 Sep 18:00 (£72) · 5-a-side · ~£7.22 per player at cost; Stepney 3G: Mon 28 Sep 17:30 (£3/pp) · 5-a-side · ~£3.00 per player at cost
Buzzard Overseas Education Consultancy PVT LTD,info@buzzardoverseas.com,general,+44 7552 601398,http://www.buzzardoverseas.com/,consultant,"Whitechapel Rd, London E1 1DT, UK",E1 1DT,London,Whitechapel,12,Contact required,Contact required: 020 7790 3854,,Contact required: 020 8986 7955 (Mon-Fri 09:00-15:30) / hackney.marshes@gll.org. Playfinder shows fully booked,COLA Shoreditch Park: Tue 29 Sep 17:30 (£91) · 5-a-side · ~£9.10 per player at cost; Old St - Moreland Primary School: Fri 2 Oct 20:00 (£90) · 6-a-side · ~£7.50 per player at cost; Shoreditch Rooftop: Mon 28 Sep 18:00 (£72) · 5-a-side · ~£7.22 per player at cost; Stepney 3G: Mon 28 Sep 17:30 (£3/pp) · 5-a-side · ~£3.00 per player at cost
Legit Solicitors,info@legitsolicitors.com,general,+44 20 8004 4424,https://www.legitsolicitors.com/,consultant,"Unit 3.21 East, Works, 75 Whitechapel Rd, London E1 1DU, UK",E1 1DU,London,Whitechapel,10,Contact required,Contact required: 020 7790 3854,,Contact required: 020 8986 7955 (Mon-Fri 09:00-15:30) / hackney.marshes@gll.org. Playfinder shows fully booked,COLA Shoreditch Park: Tue 29 Sep 17:30 (£91) · 5-a-side · ~£9.10 per player at cost; Old St - Moreland Primary School: Fri 2 Oct 20:00 (£90) · 6-a-side · ~£7.50 per player at cost; Shoreditch Rooftop: Mon 28 Sep 18:00 (£72) · 5-a-side · ~£7.22 per player at cost; Stepney 3G: Mon 28 Sep 17:30 (£3/pp) · 5-a-side · ~£3.00 per player at cost
Sunnamusk,online@sunnamusk.com,person_or_other,,https://sunnamusk.com/,office building (multi-tenant),"75 Whitechapel Road, London",E1 1DU,London,Whitechapel,10,Contact required,Contact required: 020 7790 3854,,Contact required: 020 8986 7955 (Mon-Fri 09:00-15:30) / hackney.marshes@gll.org. Playfinder shows fully booked,COLA Shoreditch Park: Tue 29 Sep 17:30 (£91) · 5-a-side · ~£9.10 per player at cost; Old St - Moreland Primary School: Fri 2 Oct 20:00 (£90) · 6-a-side · ~£7.50 per player at cost; Shoreditch Rooftop: Mon 28 Sep 18:00 (£72) · 5-a-side · ~£7.22 per player at cost; Stepney 3G: Mon 28 Sep 17:30 (£3/pp) · 5-a-side · ~£3.00 per player at cost
21Studio Photolab,info@21studiophotolab.co.uk,general,+44 20 3417 5858,https://21studiophotolab.co.uk/,shop: photo,"Whitechapel Road 21, London",E1 1DU,London,Whitechapel,11,Contact required,Contact required: 020 7790 3854,,Contact required: 020 8986 7955 (Mon-Fri 09:00-15:30) / hackney.marshes@gll.org. Playfinder shows fully booked,COLA Shoreditch Park: Tue 29 Sep 17:30 (£91) · 5-a-side · ~£9.10 per player at cost; Old St - Moreland Primary School: Fri 2 Oct 20:00 (£90) · 6-a-side · ~£7.50 per player at cost; Shoreditch Rooftop: Mon 28 Sep 18:00 (£72) · 5-a-side · ~£7.22 per player at cost; Stepney 3G: Mon 28 Sep 17:30 (£3/pp) · 5-a-side · ~£3.00 per player at cost
Hyatt Place London City East,hyattlce.info@hyatt.com,openstreetmap_tag,+44 20 8159 1234,https://www.hyatt.com/en-US/hotel/united-kingdom/hyatt-place-london-city-east/lhrzc,office building (multi-tenant),"45 Whitechapel Road, London",E1 1DU,London,Whitechapel,11,Contact required,Contact required: 020 7790 3854,,Contact required: 020 8986 7955 (Mon-Fri 09:00-15:30) / hackney.marshes@gll.org. Playfinder shows fully booked,COLA Shoreditch Park: Tue 29 Sep 17:30 (£91) · 5-a-side · ~£9.10 per player at cost; Old St - Moreland Primary School: Fri 2 Oct 20:00 (£90) · 6-a-side · ~£7.50 per player at cost; Shoreditch Rooftop: Mon 28 Sep 18:00 (£72) · 5-a-side · ~£7.22 per player at cost; Stepney 3G: Mon 28 Sep 17:30 (£3/pp) · 5-a-side · ~£3.00 per player at cost
BWBS Education Consultants,admission@bwbsedu.com,person_or_other,+44 20 7476 7066,http://www.bwbsedu.com/,consultant,"Unit- 105, E1 Studios, 7 Whitechapel Rd, London E1 1DU, UK",E1 1DU,London,Whitechapel,12,Contact required,Contact required: 020 7790 3854,,Contact required: 020 8986 7955 (Mon-Fri 09:00-15:30) / hackney.marshes@gll.org. Playfinder shows fully booked,COLA Shoreditch Park: Tue 29 Sep 17:30 (£91) · 5-a-side · ~£9.10 per player at cost; Old St - Moreland Primary School: Fri 2 Oct 20:00 (£90) · 6-a-side · ~£7.50 per player at cost; Shoreditch Rooftop: Mon 28 Sep 18:00 (£72) · 5-a-side · ~£7.22 per player at cost; Stepney 3G: Mon 28 Sep 17:30 (£3/pp) · 5-a-side · ~£3.00 per player at cost
Circle & Slice,pixxawr@mypixxa.com,openstreetmap_tag,+44 7468 424328,https://www.mypixxa.com/,amenity: restaurant,"Whitechapel Road 11, London",E1 1DU,London,Whitechapel,12,Contact required,Contact required: 020 7790 3854,,Contact required: 020 8986 7955 (Mon-Fri 09:00-15:30) / hackney.marshes@gll.org. Playfinder shows fully booked,COLA Shoreditch Park: Tue 29 Sep 17:30 (£91) · 5-a-side · ~£9.10 per player at cost; Old St - Moreland Primary School: Fri 2 Oct 20:00 (£90) · 6-a-side · ~£7.50 per player at cost; Shoreditch Rooftop: Mon 28 Sep 18:00 (£72) · 5-a-side · ~£7.22 per player at cost; Stepney 3G: Mon 28 Sep 17:30 (£3/pp) · 5-a-side · ~£3.00 per player at cost
Complex Creative,hello@n0bsagency.com,general,+44 333 011 9628,https://wearecomplexcreative.com/,service,"3.01, E1 Studios, 7 Whitechapel Rd, London E1 1DU, UK",E1 1DU,London,Whitechapel,12,Contact required,Contact required: 020 7790 3854,,Contact required: 020 8986 7955 (Mon-Fri 09:00-15:30) / hackney.marshes@gll.org. Playfinder shows fully booked,COLA Shoreditch Park: Tue 29 Sep 17:30 (£91) · 5-a-side · ~£9.10 per player at cost; Old St - Moreland Primary School: Fri 2 Oct 20:00 (£90) · 6-a-side · ~£7.50 per player at cost; Shoreditch Rooftop: Mon 28 Sep 18:00 (£72) · 5-a-side · ~£7.22 per player at cost; Stepney 3G: Mon 28 Sep 17:30 (£3/pp) · 5-a-side · ~£3.00 per player at cost
"The Corner Hotel, London City",reception@thecornerlondoncity.co.uk,openstreetmap_tag,+44 20 3021 1440,https://www.thecornerlondoncity.co.uk,tourism: hotel,"Adler Street 42, London",E1 1EE,London,Whitechapel,9,Contact required,Contact required: 020 7790 3854,,Contact required: 020 8986 7955 (Mon-Fri 09:00-15:30) / hackney.marshes@gll.org. Playfinder shows fully booked,COLA Shoreditch Park: Tue 29 Sep 17:30 (£91) · 5-a-side · ~£9.10 per player at cost; Old St - Moreland Primary School: Fri 2 Oct 20:00 (£90) · 6-a-side · ~£7.50 per player at cost; Shoreditch Rooftop: Mon 28 Sep 18:00 (£72) · 5-a-side · ~£7.22 per player at cost; Stepney 3G: Mon 28 Sep 17:30 (£3/pp) · 5-a-side · ~£3.00 per player at cost
